Name,이름
GenCostTypeSub2,비용 타입 #2
GenCostValue2,생성 필요 값 #2
GenCostType3,생성 비용 #3
GenCostTypeSub3,비용 타입 #3
GenCostValue3,생성 필요 값 #3
GenCostTypeAdd,생성 비용 #추가
GenCostTypeSubAdd,비용 타입 #추가
GenCostValueAdd,생성 필요 값 #추가
NeedCostType,입장 조건
NeedCostTypeSub,입장 조건 #2
NeedCostValue,필요 값
PCNum,권장 인원
MonsterWeaknesstext,몬스터 약점
ExpireTime,지속 시간
Reward_DropItem,획득 가능한 재화
ContentsId,분류
ItemMakeId,제작ID
TabHorizon,타입
TabVertical,세로타입
PreItemId,선행 제작 아이템
MakeCount,제작 수량
SpecialMaterialItemMainType,특수재료 타입
SpecialMaterialItemSubType,특수재료 서브타입
SpecialMaterialItemItemTier,특수재료 티어
SpecialMaterialItemItemGrade,특수재료 등급
SpecialMaterialItemItemCount,특수재료 수량
SpecialMaterialItem01Id,특수재료 #1
SpecialMaterialUse01Id,특수재료 UID#1
SpecialMaterialItem01SmeltingCount,필요강화수치 #1
SpecialMaterialItem02Id,특수재료 #2
SpecialMaterialUse02Id,특수재료 UID#2
SpecialMaterialItem02SmeltingCount,필요강화수치 #2
SpecialMaterialItem03Id,특수재료 #3
SpecialMaterialUse03Id,특수재료 UID#3
SpecialMaterialItem03SmeltingCount,필요강화수치 #3
SpecialMaterialItem04Id,특수재료 #4
SpecialMaterialUse04Id,특수재료 UID#4
SpecialMaterialItem04SmeltingCount,필요강화수치 #4
MaterialItem01Id,재료아이템 #1
MaterialUse01Id,재료아이템 UID #1
MaterialItem01Count,필요수량 #1
MaterialItem02Id,재료아이템 #2
MaterialUse02Id,재료아이템 UID #2
MaterialItem02Count,필요수량 #2
MaterialItem03Id,재료아이템 #3
MaterialUse03Id,재료아이템 UID #3
MaterialItem03Count,필요수량 #3
MaterialItem04Id,재료아이템 #4
MaterialUse04Id,재료아이템 UID #4
MaterialItem04Count,필요수량 #4
NeedCost01Id,소모 재화 #1
NeedCost01Count,소모량 #1
NeedCost02Id,소모 재화 #2
NeedCost02Count,소모량 #2
SuccessProbability,제작 성공률
LuckyProbability,대성공 확률
LuckyBonusItemId,대성공시 지급 아이템
LuckyBonusCount,지급 수량
Guild_Daily_MissionId,활동보고 아이디
Guild_Daily_MissionTitle,활동보고 이름
Guild_Reward_Value1_1,길드 보상#1
Guild_Reward_Value2_1,길드 보상#2
Guild_Reward_Value3_1,길드 보상#3
Guild_Reward_Value4_1,길드 보상#4
Guild_Reward_Value5_1,길드 보상#5
Personal_Reward_Value1_1,개인 보상#1
Personal_Reward_Value2_1,개인 보상#2
Personal_Reward_Value3_1,개인 보상#3
Personal_Reward_Value4_1,개인 보상#4
Personal_Reward_Value5_1,개인 보상#5
Guild_Daily_Mission_MaxCnt,일일 최대 가능 횟수
GiftLevel,레벨
ReqExptoNextLevel,필요 경험치
ReqOpenKeyNum,필요 황금 열쇠
GuildGiftId,보상 상자
GiftName,선물 이름
IconGrade,선물 등급
GiftExp,선물 경험치
GiftGoldenKey,선물 열쇠 수
GiftSelectCnt,선물 선택 수
GiftId,길드선물 ID
GiftReward,선물
MaxMember,가입 가능 인원
MaxAlliance,동맹 가능 문파
MaxDeclaration,적대 가능 문파
BuffConditionPartyType,파티 구분
BuffConditionStageType,스테이지 구분
Buffid,버프ID
BuffName,버프 이름
BuffValue_1,버프 값
GradeNickNameId,직책 이름
GradeMemberCount,직책 할당 인원
Set_GradeOffice,관직 설정
Set_GradeBuff,직책 버프 설정
Set_GradePermission,직책 권한 설정
GradeChangeBuffId,직책 버프 값
WantedTime,척살 시간(분)
WantedGrade,척살 등급
GuildMoneyId,등록 문파재화
RewardGuildContribution,보상 문파 공헌도
RewardGuildFameCategory,보상 명성 카테고리
RewardGuildFamePoint,보상 명성 값
GuildShopItemId,아이템 이름
GuildShopItemCnt,아이템 수량
GuildShopItemRegCostType,등록 재화
GuildShopItemRegCostTypeSub,등록 재화 타입
GuildShopItemBuyCostType,구매 재화
GuildShopItemBuyCostTypeSub,구매 재화 타입
GuildShotReward,상자 아이템
ListId,문파발전
DevId,개발항목 ID
DevNameStrId,개발항목 이름
DevType,개발항목 타입
DevExpStrId,개발항목 설명
LevelUpExp,레벨업 필요 경험치
DonationMoneyId,기부 재화
DonationMoneyId_Sub,용옥
Reward_DevExp,개발 경험치
Reward_MoneyId2,문파 금전 보상
Reward_GuildContribution,문파 공헌도
Reward_MoneyId1,문파 포인트
Reward_SkillPoint,기술 포인트
MaxSkillPoint,기술 포인트 최대값
Attribute1_Kind,혜택 종류#1
Attribute1_Type,효과 #1
Attribute1_Value,혜택 기본값#1
Attribute2_Kind,혜택 종류#2
Attribute2_Type,효과 값#2
Attribute2_Value,혜택 기본값#2
Attribute1_NameStrId,추가 효과 #1
Attribute2_NameStrId,추가 효과 #2
LevelUpMoneyId1,레벨업 재화#1
LevelUpMoneyId2,레벨업 재화#2
LevelUpMoneyId3,레벨업 재화#3
LevelUpMoneyId4,레벨업 재화#4
LevelUpTime,레벨업 기본 시간(분)
LevelUpSuccessRate,레벨업 성공 확률
LevelUpFailExpDown_Min,레벨업 실패시 경험치 다운 최소값
LevelUpFailExpDown_Max,레벨업 실패시 경험치 다운 최대값
BonusRate,보너스 발생 확률
BonusMultiple,보너스 적용 배수
DevPoint,기술력 포인트
DevExpStrId,개발항목 설명
UnsealingTime,봉인해제 시간
SupportDecreaseTime,지원 시 감소 시간
NeedCostId,소모 재화
DevNameStrId,개발항목 이름
SuccessComposeListID1,성공 보상 #전사
SuccessComposeListID2,성공 보상 #술사
SuccessComposeListID3,성공 보상 #도사
SuccessComposeListID4,성공 보상 #석궁사
SuccessComposeListID5,성공 보상 #무사
FailComposeListID1,실패 보상 #전사
FailComposeListID2,실패 보상 #술사
FailComposeListID3,실패 보상 #도사
FailComposeListID4,실패 보상 #석궁사
FailComposeListID5,실패 보상 #무사
GreatSuccessComposeListID1,대성공 보상 #전사
GreatSuccessComposeListID2,대성공 보상 #술사
GreatSuccessComposeListID3,대성공 보상 #도사
GreatSuccessComposeListID4,대성공 보상 #석궁사
GreatSuccessComposeListID5,대성공 보상 #무사
ComposeGrade,등급
maintype,타입
SuccessRate,성공 확률
GreatSuccessRate,대성공 확률
Unlock1_DevId,잠금해제 조건 #1
Unlock1_DevLevel,필요 레벨 #1
Unlock2_DevId,잠금해제 조건 #2
Unlock2_DevLevel,필요 레벨 #2
Unlock3_DevId,잠금해제 조건 #3
Unlock3_DevLevel,필요 레벨 #3
Unlock4_DevId,잠금해제 조건 #4
Unlock4_DevLevel,필요 레벨 #4
DungeonTicketId,티켓ID
ResetTimeHour,리셋 시간
ResetTimeMin,리셋 시간(분)
DefaultMax,기본 보유량
LimitUserMax,최대 보유량
TicketRechargeMax,재충전 상한
SilenceUse,침묵 상태일때 스킬 사용
SkillLevel,스킬 레벨
PCLevel,필요 레벨
SkillGrade,스킬 등급
LevelUpCostType,필요 재화#1
LevelUpCostValue,필요 재화 #1
LevelUpCostType1,필요 재화#2
LevelUpCostValue1,필요 재화 #2
LevelUpUseItemId,필요 아이템 #1
LevelUpItemValue,아이템 소모량 #1
LevelUpUseItemId1,필요 아이템 #2
LevelUpItemValue1,아이템 소모량 #2
SkillCombatPoint,스킬 전투력
SkillPower,스킬 위력
Skillphysics,물리 스킬
Skillmagic,술법 스킬
SkillPassiveLevel_1,1레벨
SkillPassiveLevel_2,2레벨
SkillPassiveLevel_3,3레벨
SkillPassiveLevel_4,4레벨
SkillPassiveLevel_5,5레벨
SkillPassiveLevel_6,6레벨
SkillPassiveLevel_7,7레벨
SkillPassiveLevel_8,8레벨
SkillPassiveLevel_9,9레벨
SkillPassiveLevel_10,10레벨
ReqCheckQuest,오픈 조건
DeckSlotNum,슬롯 숫자
RideSpeed,이동 속도
FastRideSpeed,가속도
skill_combat_0,스킬 전투력 #1
skill_combat_1,스킬 전투력 #2
skill_combat_2,스킬 전투력 #3
skill_combat_3,스킬 전투력 #4
skill_ExplainSID_0,스킬 설명 #1
skill_ExplainSID_1,스킬 설명 #2
skill_ExplainSID_2,스킬 설명 #3
skill_ExplainSID_3,스킬 설명 #4
EquipSlotMaxCnt,슬롯 개수
CoolTime,쿨타임
Buff_0,발동 버프 #1
Buff_1,발동 버프 #2
Buff_2,발동 버프 #3
SkillEffect,효과
0_Days_1StartTime,시간 #1
0_Days_1EndTime,종료 시간 #1
1_Days_1StartTime,시간 #2
1_Days_1EndTime,종료 시간 #2
2_Days_1StartTime,시간 #3
2_Days_1EndTime,종료 시간 #3
3_Days_1StartTime,시간 #4
3_Days_1EndTime,종료 시간 #4
4_Days_1StartTime,시간 #5
4_Days_1EndTime,종료 시간 #5
5_Days_1StartTime,시간 #6
5_Days_1EndTime,종료 시간 #6
6_Days_1StartTime,시간 #7
6_Days_1EndTime,종료 시간 #7
7_Days_1StartTime,시간 #8
7_Days_1EndTime,종료 시간 #8
8_Days_1StartTime,시간 #9
8_Days_1EndTime,종료 시간 #9
9_Days_1StartTime,시간 #10
9_Days_1EndTime,종료 시간 #10
10_Days_1StartTime,시간 #11
10_Days_1EndTime,종료 시간 #11
11_Days_1StartTime,시간 #12
11_Days_1EndTime,종료 시간 #12
12_Days_1StartTime,시간 #13
12_Days_1EndTime,종료 시간 #13
ForcePanel_TitleStringID,내공판 이름
ForcePanel_OpenItemID_1,오픈 아이템 #1
ForcePanel_OpenItemValue_1,오픈 아이템 숫자#1
ForcePanel_OpenItemID_2,오픈 아이템 #2
ForcePanel_OpenItemValue_2,오픈 아이템 숫자#2
ForcePanel_OpenItemID_3,오픈 아이템 #3
ForcePanel_OpenItemValue_3,오픈 아이템 숫자#3
UnlockNeedItemId,정령 획득 필요한 아이템
12_Days_1EndTime,종료 시간 #13
DominionDefaultTaxRate,흑철 세율
영지,영지 이름
exchangetype,타입
moneyid_send,환전하는 재화
moneyid_receive,환전되는 재화
exchangerate,환전 비율
donationrewardcontribution,문파 공헌 비율
paycommissionrate,지급 수수료
Exp,경험치
BossID,보스 이름
WarpAttachBuff,WarpAttachBuff
AggroDecreaseRate,AggroDecreaseRate
WarpCasting,WarpCasting
SkillPassiveAddExp,SkillPassiveAddExp
SkillPassiveGroupInitItemId,SkillPassiveGroupInitItemId
RevivalHP,RevivalHP
OccupationAuctionTenderDelayTime,OccupationAuctionTenderDelayTime
GuildNicknameStringCount,GuildNicknameStringCount
CharacterCostumeTitleItemId,CharacterCostumeTitleItemId
CharacterCostumeTitleItemUseId,CharacterCostumeTitleItemUseId
CharacterCostumeTitleItemCount,CharacterCostumeTitleItemCount
CustomizeItemId,CustomizeItemId
CustomizeItemUseId,CustomizeItemUseId
CustomizeItemCount,CustomizeItemCount
PossessionLifePoint,PossessionLifePoint
VehicleExpSec,VehicleExpSec
ShowdownRequstDistance,ShowdownRequstDistance
ShowdownRingRange,ShowdownRingRange
DuelFlagId,DuelFlagId
DuelStartAttachBuff,DuelStartAttachBuff
DuelRingSize,DuelRingSize
DuelRingOutTimeSec,DuelRingOutTimeSec
DeathResultRange,DeathResultRange
DuelStartTimeSec,DuelStartTimeSec
SpecialMaterialItemReinforceLevel,SpecialMaterialItemReinforceLevel
SpecialMaterialItemSmeltingLevel,SpecialMaterialItemSmeltingLevel
CharacterDeleteDlaySec,CharacterDeleteDlaySec
CinematicBuffID,CinematicBuffID
MaxFriends,MaxFriends
ReqMax,ReqMax
ReqPreservedTime,ReqPreservedTime
RecommendedFriends,RecommendedFriends
ForceReflowCureItemId,ForceReflowCureItemId
ForceReflowCureUseId,ForceReflowCureUseId
Use_Item_Time_CriticalFail_Minute,Use_Item_Time_CriticalFail_Minute
SummonGoblin_Count,SummonGoblin_Count
SummonGoblin_Range_Min,SummonGoblin_Range_Min
SummonGoblin_Range_Max,SummonGoblin_Range_Max
Mail_Send_Cost_Type,Mail_Send_Cost_Type
Mail_Send_Cost_Value,Mail_Send_Cost_Value
Mail_Send_Duration,Mail_Send_Duration
Mail_SHOP_Inven_Full_Account,Mail_SHOP_Inven_Full_Account
Mail_SHOP_Inven_Full_System,Mail_SHOP_Inven_Full_System
Mail_Inven_Full_System,Mail_Inven_Full_System
Mail_SUPPRESSION_Result_Full_Inven,Mail_SUPPRESSION_Result_Full_Inven
Mail_First_Clear_Reward,Mail_First_Clear_Reward
Mail_INCLUDE_Max_Reward,Mail_INCLUDE_Max_Reward
Mail_INCLUDE_Wanted_Reward,Mail_INCLUDE_Wanted_Reward
Mail_Delete_Readed,Mail_Delete_Readed
Dominion_Strong_Point_Black_Iron_Imcome_Time_Hour,흑철 정산 시간
Dominion_Strongpoint_BlackIron_Limit,문파 흑철 일일 최대 제한
Mail_Alarm_Quest_Mission,Mail_Alarm_Quest_Mission
Mail_Alarm_Quest_Request,Mail_Alarm_Quest_Request
Mail_Alarm_Battle_Lose,Mail_Alarm_Battle_Lose
Mail_Alarm_Instance_Dungeon1_Success,Mail_Alarm_Instance_Dungeon1_Success
Mail_Alarm_Instance_Dungeon1_Fail,Mail_Alarm_Instance_Dungeon1_Fail
Mail_Alarm_Instance_Dungeon2_Success,Mail_Alarm_Instance_Dungeon2_Success
Mail_Alarm_Instance_Dungeon2_Fail,Mail_Alarm_Instance_Dungeon2_Fail
Mail_Alarm_PVP_Win,Mail_Alarm_PVP_Win
Mail_Alarm_PVP_Lose,Mail_Alarm_PVP_Lose
Chatting_Max_Block_Count,Chatting_Max_Block_Count
Chatting_Max_Search_Name_Count,Chatting_Max_Search_Name_Count
PetAdditionExpPercent,PetAdditionExpPercent
PetDivisionDeckSlot,PetDivisionDeckSlot
PET_READYSTATE_ENDTIMER,PET_READYSTATE_ENDTIMER
GREAT_BUILDING_PET_UNCHANGEABLE_TIME,GREAT_BUILDING_PET_UNCHANGEABLE_TIME
UnsealingSlotCount,UnsealingSlotCount
GuildHelpCount,GuildHelpCount
RANKING_SETTLEMENT_HOUR,RANKING_SETTLEMENT_HOUR
WEEKLY_SETTLEMENT_WEEKDAY,WEEKLY_SETTLEMENT_WEEKDAY
Durability_Decrese_ApplyItemCntMin,Durability_Decrese_ApplyItemCntMin
Durability_Decrese_ApplyItemCntMax,Durability_Decrese_ApplyItemCntMax
Durability_Death_ApplyItemCntMin,Durability_Death_ApplyItemCntMin
Durability_Death_ApplyItemCntMax,Durability_Death_ApplyItemCntMax
Durability_DeathPanelty,Durability_DeathPanelty
PKPanalty_MenuApplyOverLapCnt,PKPanalty_MenuApplyOverLapCnt
TestPanaltyBuffId,TestPanaltyBuffId
TestPanaltyBuffTimeMs,TestPanaltyBuffTimeMs
TestPanaltyBuffOverlapCnt,TestPanaltyBuffOverlapCnt
Mail_ItemDelete_Jewel,Mail_ItemDelete_Jewel
Mail_ItemDelete,Mail_ItemDelete
Monster_ShieldRegeneration_Tic,Monster_ShieldRegeneration_Tic
Trade_SystemTax,Trade_SystemTax
Trade_GuildTax,Trade_GuildTax
Trade_ApplyTax,Trade_ApplyTax
Trade_SaleWaitingMinTime,Trade_SaleWaitingMinTime
Trade_SaleWaitingMaxTime,Trade_SaleWaitingMaxTime
Trade_AccountTime,Trade_AccountTime
Trade_SalesTime,Trade_SalesTime
Base_Accuracy,Base_Accuracy
Base_Critical,Base_Critical
Base_CriticalOutcome,Base_CriticalOutcome
Base_Smite,Base_Smite
HPOverPer,HPOverPer
HPOverDamagePer,HPOverDamagePer
RevivalSkillId,RevivalSkillId
RevivalSkillLevel,RevivalSkillLevel
RevivalSkillWateTime,RevivalSkillWateTime
Dominion_Money_Gold_Interest_Ratio,Dominion_Money_Gold_Interest_Ratio
Dominion_Money_Gold_Interest_Max,Dominion_Money_Gold_Interest_Max
Dominion_Money_Coin_Interest_Ratio,Dominion_Money_Coin_Interest_Ratio
Dominion_Money_Coin_Interest_Max,Dominion_Money_Coin_Interest_Max
Dominion_Tax_SabookCastle_Enable,Dominion_Tax_SabookCastle_Enable
Dominion_Tax_BicheonCastle_Enable,Dominion_Tax_BicheonCastle_Enable
Dominion_Tax_StrongPoint_Enable,Dominion_Tax_StrongPoint_Enable
Dominion_PK_Reward_Mail,Dominion_PK_Reward_Mail
Dominion_PRIZE_Reward_Mail,Dominion_PRIZE_Reward_Mail
OneUserRebirth_Skill_ID,OneUserRebirth_Skill_ID
OneUserRebirth_Skill_LV,OneUserRebirth_Skill_LV
OneUserRebirth_BUFF_ID,OneUserRebirth_BUFF_ID
OneUserRebirth_EMOTE_ID,OneUserRebirth_EMOTE_ID
PkDropObjectDeleteTime,PkDropObjectDeleteTime
PkDropObjectProtectionTimeSec,PkDropObjectProtectionTimeSec
PkDropObjectNonOwnerRatio,PkDropObjectNonOwnerRatio
DeathPenalty_Steal_ReqLv,DeathPenalty_Steal_ReqLv
DeathPenalty_Steal_NodroptimeBuffId,DeathPenalty_Steal_NodroptimeBuffId
DeathPenalty_EXP_SaveLogMaxCnt,DeathPenalty_EXP_SaveLogMaxCnt
DeathPenalty_EXP_LossExpLogMailId,DeathPenalty_EXP_LossExpLogMailId
DeathPenalty_EXP_ExpireHour,DeathPenalty_EXP_ExpireHour
DeathPenalty_EXP_ExpireDateMailId,DeathPenalty_EXP_ExpireDateMailId
DeathPenalty_EXP_FreeResetHour,DeathPenalty_EXP_FreeResetHour
DeathPenalty_Steal_GetObjectLimitCnt,DeathPenalty_Steal_GetObjectLimitCnt
DeathPenalty_EXP_FreeRecovery_Limit,DeathPenalty_EXP_FreeRecovery_Limit
REVIVAL_SafetyIncreaseReqLv,REVIVAL_SafetyIncreaseReqLv
Ticket_Refund_BuffId,Ticket_Refund_BuffId
M_LevelRequirement,M_LevelRequirement
M_PlayTime_Free,M_PlayTime_Free
M_MaxPlayTime,M_MaxPlayTime
DamageLimit_StandardDmg,DamageLimit_StandardDmg
DamageLimit_Denominator,DamageLimit_Denominator
CommonSafetyResetTime,CommonSafetyResetTime
CommonSafetyMaxDelayIncreaseCount,CommonSafetyMaxDelayIncreaseCount
CommonSafetyIncreaseDelayValue,CommonSafetyIncreaseDelayValue
GenMonster,등장 몬스터
GenObject,채집 오브젝트
GenNpc,등장 NPC
stage #1,등장 지역 #1
stage #2,등장 지역 #2
stage #3,등장 지역 #3
pkname,성향
pkpointmin,최소 포인트
pkpointmax,최대 포인트
getpkpoint,유저 PK
pkmonsterkillpoint,몬스터 처치
pkchaouserkillpoint,카오 처치
RandomOptionGroupId_number,옵션 그룹 아이디
RandomOptionGroupId_name,장비 분류
OptionTypeValue,옵션 타입 아이디
AttributeType,능력
OptionRate,확률
OptionGradeRate01,D등급 확률
OptionGradeRate02,C등급 확률
OptionGradeRate03,C2등급 확률
OptionGradeRate04,B등급 확률
OptionGradeRate05,B2등급 확률
OptionGradeRate06,A등급 확률
OptionGradeRate07,A2등급 확률
OptionGradeRate08,S등급 확률
OptionGradeRate09,SS등급 확률
OptionGradeRate10,SSS등급 확률
OptionGradeValue01,D등급 값
OptionGradeValue06,C등급 값
OptionGradeValue11,C2등급 값
OptionGradeValue16,B등급 값
OptionGradeValue21,B2등급 값
OptionGradeValue26,A등급 값
OptionGradeValue31,A2등급 값
OptionGradeValue36,S등급 값
OptionGradeValue41,SS등급 값
OptionGradeValue46,SSS등급 값
Physicaldefense,물리방어
Magicdefense,술법방어
GuildJoinLevel,가입 최저 레벨(GuildJoinLevel)
GuildJoinMaxLevel,가입 최대 레벨(GuildJoinMaxLevel)
GuildJoinCombatPoint,가입 최소 전투력(GuildJoinCombatPoint)
GuildJoinMaxCombatPoint,가입 최대 전투력(GuildJoinMaxCombatPoint)
GuildCreationLevel,창설 가능 레벨(GuildCreationLevel)
GuildCreationCostType,창설 비용 타입(GuildCreationCostType)
GuildCreationCostCount,창설 비용 수치(GuildCreationCostCount)
GuildCreationMembers,최초 문파 인원(GuildCreationMembers)
GuildOfficerMembers,최초 임원 숫자(GuildOfficerMembers)
GuildAllianceCount,최초 동맹 숫자(GuildAllianceCount)
GuildEnemyCount,최초 전쟁 숫자(GuildEnemyCount)
GuildHuntingCount,확인대기(GuildHuntingCount)
GuildWantedCount,최초 척살 숫자(GuildWantedCount)
GuildWantedUnlockDevId,척살 언락 문파발전(GuildWantedUnlockDevId)
GuildWantedUnlockDevLevel,척살 언락 발전레벨(GuildWantedUnlockDevLevel)
GuildInventoryCount,최초 창고 숫자(GuildInventoryCount)
GuildInviteMailPresetId,문파초대 우편 ID(GuildInviteMailPresetId)
GuildInviteRecommandBasicCount,문파최초 초대 숫자(GuildInviteRecommandBasicCount)
GuildInviteRecommandBasicMaxLevel,문파최대 초대 숫자(GuildInviteRecommandBasicMaxLevel)
GuildInviteRecommandCustomCount,확인대기(GuildInviteRecommandCustomCount)
GuildInviteRecommandFullCount,확인대기(GuildInviteRecommandFullCount)
GuildAllianceApplicantCount,확인대기(GuildAllianceApplicantCount)
GuildAllianceApplicantMailPresetId,확인대기(GuildAllianceApplicantMailPresetId)
GuildAllianceUnLockDevId,동맹 언락 문파발전(GuildAllianceUnLockDevId)
GuildAllianceUnLockDevLevel,동맹 언락 발전레벨(GuildAllianceUnLockDevLevel)
GuildHostilityDeclareGuildMoneyId,전쟁 선포 재화(GuildHostilityDeclareGuildMoneyId)
GuildHostilityDeclareGuildMoneyValue,전쟁 선포 비용(GuildHostilityDeclareGuildMoneyValue)
GuildHostilityDeclareTimeHour,전쟁 유지 시간(GuildHostilityDeclareTimeHour)
GuildHostilityDeclareUnLockDevId,전쟁 언락 문파발전(GuildHostilityDeclareUnLockDevId)
GuildHostilityDeclareUnLockDevLevel,전쟁 언락 발전레벨(GuildHostilityDeclareUnLockDevLevel)
GuildHostilityRewardFameCategory,확인대기(GuildHostilityRewardFameCategory)
GuildHostilityRewardFameValue,확인대기(GuildHostilityRewardFameValue)
GuildHostilityRewardGuildContribution,확인대기(GuildHostilityRewardGuildContribution)
GuildHostilityDeclareMailPresetId,확인대기(GuildHostilityDeclareMailPresetId)
GuildInventoryExchangeRate,확인대기(GuildInventoryExchangeRate)
GuildProvideMailPresetId,확인대기(GuildProvideMailPresetId)
GuildPresentMailPresetId,확인대기(GuildPresentMailPresetId)
GuildUniformColorChangeCostType,확인대기(GuildUniformColorChangeCostType)
GuildUniformColorChangeCostCount,확인대기(GuildUniformColorChangeCostCount)
GuildUniformIconId_Select,확인대기(GuildUniformIconId_Select)
GuildUniformIconId_NonSelect,확인대기(GuildUniformIconId_NonSelect)
GuildUniformPaletteGroupId,확인대기(GuildUniformPaletteGroupId)
GuildIdentityChangeCostType,문파문양 변경재화(GuildIdentityChangeCostType)
GuildIdentityChangeCostCount,문파문양 변경값(GuildIdentityChangeCostCount)
GuildNameChangeCostType,문파이름 변경재화(GuildNameChangeCostType)
GuildNameChangeCostCount,문파이름 변경값(GuildNameChangeCostCount)
GuildDailyContributionRankingMailPresetId,확인대기(GuildDailyContributionRankingMailPresetId)
GuildWeeklyContributionRankingMailPresetId,확인대기(GuildWeeklyContributionRankingMailPresetId)
OccupationEnemyKillGetPoint,점령전 킬 포인트(OccupationEnemyKillGetPoint)
GuildStrongPointDefenseEnterCount,확인대기(GuildStrongPointDefenseEnterCount)
GuildContributionMax,확인대기(GuildContributionMax)
GuildNpcShopSellMoneyId,흑철상점 판매재화(GuildNpcShopSellMoneyId)
GuildNpcShopSellMoneyMinValue,흑철상점 판매최소(GuildNpcShopSellMoneyMinValue)
GuildNpcShopSellMoneyMaxValue,흑철상점 판매최대(GuildNpcShopSellMoneyMaxValue)
GuildNpcShopBuyMoneyId,흑철상점 구매재화(GuildNpcShopBuyMoneyId)
GuildNpcShopBuyMoneyMinValue,흑철상점 구매액수 최소(GuildNpcShopBuyMoneyMinValue)
GuildNpcShopBuyMoneyMaxValue,흑철상점 구매액수 최대(GuildNpcShopBuyMoneyMaxValue)
GuildNpcShopCommissionRate,흑철상점 수수로율(GuildNpcShopCommissionRate)
GuildNpcShopSaveMoneyId,흑철상점 판매대금 회수재화(GuildNpcShopSaveMoneyId)
GuildNpcShopReopenRate,흑철상점 재오픈 창고비율(GuildNpcShopReopenRate)
Mail_GUILD_Join,가입 우편(Mail_GUILD_Join)
Mail_GUILD_Leave,탈퇴 우편(Mail_GUILD_Leave)
Mail_GUILD_Deport,추방 우편(Mail_GUILD_Deport)
Mail_GUILD_Invite,초대 우편(Mail_GUILD_Invite)
Mail_GUILD_SUPRESSION_ID,확인대기(Mail_GUILD_SUPRESSION_ID)
Mail_GUILD_Request_Alliance,확인대기(Mail_GUILD_Request_Alliance)
Mail_GUILD_Declare_Hostility,확인대기(Mail_GUILD_Declare_Hostility)
Mail_GUILD_Daily_Contributiveness,일일 공헌도 보상우편(Mail_GUILD_Daily_Contributiveness)
Mail_GUILD_Weekly_Contributiveness,주간 공헌도 보상우편(Mail_GUILD_Weekly_Contributiveness)
Mail_GUILD_SUPRESSION_First_Clear,확인대기(Mail_GUILD_SUPRESSION_First_Clear)
Mail_GUILD_Daily_Contributiveness_Reward,확인대기(Mail_GUILD_Daily_Contributiveness_Reward)
Mail_GUILD_Weekly_Contributiveness_Reward,확인대기(Mail_GUILD_Weekly_Contributiveness_Reward)
GUILD_SUPRESSION_Daily_Cnt,확인대기(GUILD_SUPRESSION_Daily_Cnt)
GUILD_SUPRESSION_Daily_Recharge_Cnt,확인대기(GUILD_SUPRESSION_Daily_Recharge_Cnt)
GUILD_EXPEDITION_Ticket_Daily_Reset_Time,확인대기(GUILD_EXPEDITION_Ticket_Daily_Reset_Time)
GUILD_EXPEDITION_Ticket_Daily_Reset_Cnt,확인대기(GUILD_EXPEDITION_Ticket_Daily_Reset_Cnt)
GUILD_Gift_Golden_Key_Maintain_Time,문파 선물 축복상자(GUILD_Gift_Golden_Key_Maintain_Time)
GUILD_Gift_Maintain_Count,선물 리스트 수량(GUILD_Gift_Maintain_Count)
GuildLevleIconId,문파레벨 아이콘(GuildLevleIconId)
GuildExpIconId,문파 EXP 아이콘(GuildExpIconId)
GuildExpeditionIconId,문파원정 아이콘(GuildExpeditionIconId)
GuildDevExpIconId,개발 경험치 아이콘(GuildDevExpIconId)
GuildContributionIconId,문파 공헌도 아이콘(GuildContributionIconId)
GuildDevLevelUpExpIconID,문파발전 레벨업 아이콘(GuildDevLevelUpExpIconID)
GuildUniformPaletteGroupID_PresetMain,확인대기(GuildUniformPaletteGroupID_PresetMain)
GuildUniformPaletteGroupID_PresetSub,확인대기(GuildUniformPaletteGroupID_PresetSub)
GuildUniformPaletteGroupID_DyeingMain,확인대기(GuildUniformPaletteGroupID_DyeingMain)
GuildUniformPaletteGroupID_DyeingSub,확인대기(GuildUniformPaletteGroupID_DyeingSub)
GUILD_WAR_NotEventTime_BuffID,봉인버프(GUILD_WAR_NotEventTime_BuffID)
GUILD_WAR_ProtectionTime_BuffID,보호버프(GUILD_WAR_ProtectionTime_BuffID)
GUILD_WAR_Recovery_BuffID,회복버프(GUILD_WAR_Recovery_BuffID)
GUILD_WAR_ProtectionRecovery_BuffID,회복버프(GUILD_WAR_ProtectionRecovery_BuffID)
GUILD_WAR_SetOnFire_BuffID,삭제 대상(GUILD_WAR_SetOnFire_BuffID)
GUILD_WAR_HPRepaire_BuffID,삭제 대상(GUILD_WAR_HPRepaire_BuffID)
GUILD_WAR_HPRepairSupport_BuffID,삭제 대상(GUILD_WAR_HPRepairSupport_BuffID)
Guild_Support_Point_Per,문파지원 문파주화 보상(Guild_Support_Point_Per)
Guild_Support_Point_Max,문파지원 문파주화 최대(Guild_Support_Point_Max)
Guild_Support_Point_Reset_Time_Hour,확인대기(Guild_Support_Point_Reset_Time_Hour)
Siege_PointsPerKill,공성전_랭킹_유저킬점수(Siege_PointsPerKill)
Siege_CaptureProtectionBuff,공성전_점령석보호버프(Siege_CaptureProtectionBuff)
